BOR;AN;nofinesset;nofinessej;EX_NEUCHI;LIT_NEUCHI;EX_REA;EX_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;CRAN;CERE;STEREOT;NPED;ENDO;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2019;930300025;930000393;1;9;0;1;0;;0;1;11;1;20;1;1;1;0;0;306;10;1441;2;0;6;19;46;44;82;0;0;0
NEUROCHIR;2019;940100027;750712184;1;30;1;1;1;10;1;1;;1;;1;1;0;0;1;1837;617;9167;6;2;34;347;1370;143;1409;351;66;1468
NEUROCHIR;2019;940100043;750712184;1;34;1;1;1;4;1;1;300;0;0;1;1;1;0;1;2071;499;11006;34;4;186;189;1456;561;1194;590;42;2257
NEUROCHIR;2019;970100442;970100228;1;11;0;1;0;;1;1;;0;;1;0;0;1;0;614;16;3610;4;0;28;54;405;44;187;0;0;0
NEUROCHIR;2019;970211215;970211207;1;9;0;0;0;;0;0;;0;;1;0;0;1;0;371;5;3140;8;0;79;29;259;19;30;55;2;310
NEUROCHIR;2019;970400057;970408589;1;18;1;;1;;1;1;1046;;;1;;;1;1;944;30;6010;4;0;25;243;1634;30;95;183;7;1226
NEUROCHIR;2018;060780947;060800174;0;4;0;0;0;;1;1;25;0;;0;0;0;1;0;0;0;0;443;14;1124;17;84;54;197;6;1;5
NEUROCHIR;2018;060785003;060785011;1;28;0;1;1;14;1;1;731;0;;1;1;1;1;1;2482;49;11804;10;0;35;121;957;633;1977;306;29;2129
NEUROCHIR;2018;080010473;080010242;0;3;0;0;0;;0;0;;0;;0;0;0;0;0;154;2;702;0;0;0;0;0;67;96;0;0;0
NEUROCHIR;2018;130780521;130786049;1;25;0;1;0;;1;1;250;1;0;1;0;0;0;0;1117;19;7806;14;0;180;135;810;254;619;0;0;0
NEUROCHIR;2018;130783293;130786049;1;61;1;1;1;;1;1;;0;;1;1;1;1;1;4078;33;24813;31;0;200;155;1401;716;1929;493;31;2996
NEUROCHIR;2018;130784051;130037823;1;111;0;1;1;4;1;1;1;0;;1;1;1;0;1;4335;11;25531;15;0;72;247;911;117;620;171;0;732
NEUROCHIR;2018;140000209;140000100;1;42;0;1;0;0;1;1;2950;0;0;1;1;0;1;1;2005;37;14370;13;0;41;187;2413;467;1702;332;42;2243
NEUROCHIR;2018;210987558;210780581;1;30;0;1;1;6;1;1;2500;0;;1;0;0;0;1;1840;36;7250;9;1;25;161;918;108;688;419;40;2093
NEUROCHIR;2018;250006954;250000015;1;33;0;1;0;;1;1;;1;;1;0;1;0;1;1712;18;9091;21;2;188;81;800;205;1127;163;5;932
NEUROCHIR;2018;260020078;420784878;1;10;0;0;0;;0;0;;0;;0;0;0;0;;441;13;2815;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2018;290004324;290000017;1;42;0;1;1;0;1;1;4745;0;;1;1;1;1;1;1657;51;11641;20;0;119;129;1197;35;61;270;3;1572
NEUROCHIR;2018;2B0000012;2B0000020;1;20;0;0;0;;0;0;;0;;1;0;0;0;0;914;46;5609;5;0;14;30;355;67;185;0;0;0
NEUROCHIR;2018;300780152;300017985;1;29;0;0;0;;1;0;;0;;1;0;0;0;0;1983;7;8019;4;0;9;87;256;270;351;0;0;0
NEUROCHIR;2018;300782117;300780038;1;10;0;0;0;;1;1;;1;;1;0;0;0;0;468;4;2716;1;0;5;27;339;100;218;0;0;0
NEUROCHIR;2018;310780283;310000112;1;34;0;0;0;;1;0;;0;;1;0;0;0;0;343;0;4049;0;0;0;9;262;23;153;0;0;0
NEUROCHIR;2018;310781000;310788880;1;35;;;1;0;1;0;;0;;1;1;1;0;1;3228;16;12327;3;0;13;39;373;191;628;95;8;338
NEUROCHIR;2018;310783048;310781406;1;78;1;1;1;;1;1;3239;0;;1;1;1;1;1;2983;30;24421;49;3;293;332;4241;800;2381;679;54;3456
NEUROCHIR;2018;330781360;330781196;1;72;1;1;0;;;;;;;1;1;0;1;1;2550;47;18605;219;4;864;604;6375;1331;1657;802;332;1794
NEUROCHIR;2018;340015502;340000512;1;30;1;0;1;;1;0;;0;;1;0;1;0;1;1585;7;7184;3;0;10;85;241;546;746;0;0;0
NEUROCHIR;2018;340782085;340780477;1;53;0;1;1;8;1;1;;1;;1;1;1;1;1;2366;61;12609;327;9;1496;84;1185;736;1600;905;268;2643
NEUROCHIR;2018;350000741;350005179;1;48;0;1;;;;1;;1;;1;1;0;0;1;2751;44;15044;26;1;141;115;1179;486;1601;430;83;1465
NEUROCHIR;2018;370000499;370000481;1;5;0;0;1;;0;1;;0;;0;0;0;1;0;4;2;10;1101;401;2314;69;333;15;87;0;0;0
NEUROCHIR;2018;370000861;370000481;1;30;1;1;1;;1;1;2700;0;;1;1;1;1;1;1809;70;8949;10;1;42;144;1740;678;3277;488;23;2481
NEUROCHIR;2018;380000067;380780080;1;39;1;1;0;0;1;1;2920;0;;1;1;0;1;1;1920;18;12362;28;2;126;383;2126;390;1326;306;92;1354
NEUROCHIR;2018;420785354;420784878;1;44;1;1;1;1;1;1;3750;0;;1;1;1;1;1;2056;58;13460;14;0;82;102;1165;361;856;262;22;1552
NEUROCHIR;2018;440017598;440000289;1;31;0;0;0;;1;1;;0;;1;1;1;1;1;1573;246;8310;7;0;32;443;1870;215;247;395;22;1915
NEUROCHIR;2018;450002613;450000088;1;18;0;0;0;;1;0;;0;;1;0;1;0;0;669;6;5039;5;0;25;60;471;115;507;0;0;0
NEUROCHIR;2018;490000049;490000031;1;32;0;1;1;1;1;1;;1;;1;1;0;1;1;1811;43;8932;13;1;49;137;802;15;98;139;11;825
NEUROCHIR;2018;510004302;510000029;1;30;0;1;1;5;1;1;520;0;;1;1;0;0;1;1840;182;6460;10;0;34;31;278;563;1647;224;7;1099
NEUROCHIR;2018;540001138;540023264;1;72;1;1;1;8;1;1;;1;;1;1;1;0;1;2831;13;22215;16;0;242;125;1899;155;1460;539;23;2719
NEUROCHIR;2018;540002698;540023264;1;8;0;0;1;8;1;1;;0;;;;;1;1;3;0;19;515;7;2205;127;401;5;33;26;1;114
NEUROCHIR;2018;590000618;590782215;1;28;1;1;0;;1;1;532;1;177;1;0;0;0;;1603;418;7268;29;15;53;152;846;28;150;0;0;0
NEUROCHIR;2018;590796975;590780193;1;130;1;1;1;1;1;1;5071;0;;1;1;1;1;1;5070;68;28647;830;160;2605;324;4597;30;444;756;87;3282
NEUROCHIR;2018;630000404;630780989;1;54;1;1;1;0;1;1;4063;0;;1;1;1;1;1;2563;60;16187;45;5;114;223;3145;71;1191;282;22;1834
NEUROCHIR;2018;640000162;640780417;1;21;0;0;0;;0;0;;0;;1;1;1;0;0;1191;61;7215;11;3;28;60;577;137;295;0;0;0
NEUROCHIR;2018;640780946;640000469;1;32;0;1;0;;1;0;;0;;1;1;1;0;0;110;5;589;0;0;0;0;0;4;12;0;0;0
NEUROCHIR;2018;660000084;660780180;1;23;1;1;0;;1;1;30;1;30;1;0;0;0;0;926;43;6776;8;0;38;87;706;126;470;0;0;0
NEUROCHIR;2018;670783273;670780055;1;50;0;1;0;;1;0;;0;;1;1;0;1;1;1940;54;10918;26;1;131;127;1500;24;1286;299;36;1557
NEUROCHIR;2018;680000684;680000973;1;45;0;0;1;1;1;1;1040;1;52;1;1;0;0;1;2584;50;14593;13;2;55;161;1915;12;27;163;11;1304
NEUROCHIR;2018;690007539;690781810;1;10;0;0;0;;0;0;;0;;0;0;0;1;0;1;0;2;701;21;4456;110;379;194;283;0;0;0
NEUROCHIR;2018;690780648;690036900;0;;0;0;0;;0;0;;0;;0;0;0;0;1;551;10;1259;0;0;0;1;4;12;22;0;0;0
NEUROCHIR;2018;690782834;690000724;0;21;0;0;0;;1;0;;0;;1;0;0;0;1;242;13;1358;0;0;0;13;122;148;883;0;0;0
NEUROCHIR;2018;690784178;690781810;1;120;1;1;1;6;1;;;0;;1;1;1;1;1;5200;694;32038;78;58;152;314;3211;804;2109;672;27;3275
NEUROCHIR;2018;740000237;740781133;1;14;0;0;0;;1;1;815;0;;1;0;0;0;0;1000;29;4461;8;0;34;92;356;110;343;0;0;0
NEUROCHIR;2018;750000499;750140014;1;41;1;1;1;7;1;1;776;0;;1;1;1;0;1;1566;20;13411;15;0;117;131;2132;395;1334;287;10;2324
NEUROCHIR;2018;750000549;750150229;1;32;1;1;1;12;0;0;;0;;1;1;1;1;1;403;45;1559;1;0;3;2;3;1;4;822;47;4443
NEUROCHIR;2018;750100042;750712184;1;42;;;0;;1;1;;0;;1;1;0;0;1;1847;126;10865;17;2;81;202;2330;76;455;486;16;3442
NEUROCHIR;2018;750100125;750712184;1;84;1;;1;4;1;0;;0;;1;1;1;0;1;5149;584;29018;33;2;143;452;7356;1119;1187;416;69;3195
NEUROCHIR;2018;750100208;750712184;1;16;1;1;0;;1;1;;0;;0;0;0;1;1;18;1;54;1573;163;4819;646;1733;673;2226;0;0;0
NEUROCHIR;2018;760000158;760780239;1;58;1;1;1;3;1;1;1185;0;;1;1;0;1;1;2754;92;19565;37;2;260;329;2902;677;1180;263;41;1223
NEUROCHIR;2018;800006124;800000044;1;40;1;1;1;1;1;1;600;0;0;1;1;;1;1;2221;112;11471;121;8;373;256;1847;142;308;247;50;875
NEUROCHIR;2018;830100574;750821092;1;20;1;1;1;4;1;1;900;0;;1;0;0;0;1;825;12;6812;6;0;28;90;795;96;544;175;50;629
NEUROCHIR;2018;860000223;860014208;1;44;1;0;0;;1;1;;1;;1;1;0;1;1;1352;16;8980;13;0;71;237;2629;217;465;365;47;2477
NEUROCHIR;2018;870000064;870000015;1;43;0;1;1;7;1;1;;0;;1;1;0;0;1;1771;39;10386;10;1;30;55;844;223;1523;295;3;1557
NEUROCHIR;2018;920000650;920150059;1;40;0;0;1;7;1;0;;0;;1;1;0;0;1;1399;50;5144;12;0;36;36;349;697;3410;369;61;1468
NEUROCHIR;2018;920100039;750712184;1;22;0;0;0;;1;1;780;1;450;1;1;0;0;0;1453;329;7388;8;3;17;170;1539;195;239;0;0;0
NEUROCHIR;2018;920120011;750821092;1;15;0;;0;;0;0;;0;;1;1;0;0;0;642;7;3776;4;0;20;68;583;2;73;0;0;0
NEUROCHIR;2018;930300025;930000393;1;9;0;1;0;;0;1;;1;;1;1;1;0;0;298;1;1441;0;0;0;15;69;43;101;0;0;0
NEUROCHIR;2018;940100027;750712184;1;30;1;1;1;10;1;1;;1;;1;1;0;0;1;1959;685;9057;13;0;72;333;1766;128;1181;283;43;1362
NEUROCHIR;2018;940100043;750712184;1;34;1;1;1;10;1;1;;0;;1;1;1;0;1;2109;493;10766;49;5;219;189;1638;555;1174;586;61;2340
NEUROCHIR;2018;970100442;970100228;1;11;0;1;0;;1;1;;0;;1;0;0;1;0;525;28;2666;6;0;32;55;520;22;79;0;0;0
NEUROCHIR;2018;970112850;970100228;1;3;;;;;;;;;;;;;;;100;6;512;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2018;970211215;970211207;1;8;0;0;0;;0;0;;0;;1;0;0;1;0;375;7;2683;6;0;38;21;177;17;32;32;2;151
NEUROCHIR;2018;970400057;970408589;1;18;1;1;1;;1;1;1046;;;1;0;0;1;1;975;16;5857;8;1;49;268;1672;22;36;151;13;1016
NEUROCHIR;2017;060780947;060800174;0;;0;0;0;;1;0;;0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2017;060785003;060785011;1;28;1;;1;14;;1;605;1;1900;;;;;;2528;57;12288;15;4;55;119;1158;603;1835;242;41;1542
NEUROCHIR;2017;080010473;080010242;0;3;0;0;0;;0;0;;0;;;;;;;147;2;652;0;0;0;0;0;66;84;0;0;0
NEUROCHIR;2017;130780521;130786049;1;25;0;1;0;;1;1;250;1;;1;0;0;0;0;977;18;8069;9;0;77;144;986;232;500;0;0;0
NEUROCHIR;2017;130783293;130786049;1;61;1;1;1;;1;1;1500;0;;1;0;0;0;1;4039;33;26140;36;1;130;181;2017;762;2228;409;21;2695
NEUROCHIR;2017;130784051;130037823;1;111;0;1;1;4;1;1;1;;;1;1;1;0;1;4595;16;26776;5;0;23;231;996;117;876;141;0;639
NEUROCHIR;2017;140000209;140000100;1;42;0;1;1;2;1;1;1500;0;0;1;1;0;1;1;1959;51;14280;13;2;33;240;2324;393;1546;249;40;1473
NEUROCHIR;2017;210987558;210780581;1;30;0;1;1;6;1;1;1131;0;;1;0;0;0;1;1798;35;7390;10;0;25;153;687;98;589;397;33;1939
NEUROCHIR;2017;250006954;250000015;1;33;0;1;0;;1;1;;1;;1;0;1;0;1;1882;16;9966;17;1;80;98;748;165;714;100;2;505
NEUROCHIR;2017;260020078;420784878;1;10;0;0;0;;0;0;;0;;0;0;0;0;0;493;16;3024;1;0;7;0;0;0;0;0;0;0
NEUROCHIR;2017;290004324;290000017;1;42;0;1;1;0;1;1;4745;0;;1;1;1;1;1;1859;25;11807;31;0;150;101;940;26;49;191;2;855
NEUROCHIR;2017;2B0000012;2B0000020;1;20;0;0;0;;0;0;;0;;1;0;0;0;0;939;43;5513;5;0;13;30;374;58;161;0;0;0
NEUROCHIR;2017;300780152;920029527;1;28;0;0;0;;1;0;;0;;1;0;0;0;0;1865;6;7878;8;1;19;35;113;310;388;0;0;0
NEUROCHIR;2017;300782117;300780038;1;10;0;0;0;;1;1;;1;;1;0;0;0;0;501;13;2980;8;0;38;41;367;109;215;0;0;0
NEUROCHIR;2017;310780283;310000112;1;34;0;0;0;0;1;0;;0;;1;0;0;0;0;312;0;1504;0;0;0;8;54;25;144;0;0;0
NEUROCHIR;2017;310781000;310788880;1;35;;;1;0;1;0;;0;;1;1;1;0;1;3195;4;13326;3;0;15;53;489;236;739;87;3;340
NEUROCHIR;2017;310783048;310781406;1;78;1;1;0;;1;1;2839;0;;1;1;1;1;1;3026;31;24340;50;0;438;360;4170;825;2523;542;29;2980
NEUROCHIR;2017;330781360;330781196;1;72;1;1;0;;;;;;;1;1;0;1;1;2517;31;18483;224;2;1017;627;5779;1334;1824;691;268;1925
NEUROCHIR;2017;340015502;340000512;1;30;1;0;0;;1;0;;0;;1;0;1;0;0;1616;2;6997;4;0;20;75;213;421;650;0;0;0
NEUROCHIR;2017;340782085;340780477;1;53;0;1;1;8;1;1;;1;;1;1;1;1;1;2319;66;12163;337;15;1647;84;1197;677;1375;873;259;3019
NEUROCHIR;2017;350000741;350005179;1;48;0;1;;;;1;;1;;1;1;0;0;1;2842;64;15756;31;3;88;120;887;519;1728;443;82;1659
NEUROCHIR;2017;370000499;370000481;1;5;0;0;0;;0;1;;0;;0;0;0;1;0;0;0;0;523;195;2144;0;0;0;0;0;0;0
NEUROCHIR;2017;370000861;370000481;1;36;1;1;1;;0;1;;0;;1;0;1;1;1;2260;425;8946;12;2;21;173;1803;689;3162;402;53;2214
NEUROCHIR;2017;380000067;380780080;1;39;1;1;0;0;1;1;2920;0;;1;1;0;1;1;1912;19;11987;38;0;158;305;1710;396;1475;277;72;1364
NEUROCHIR;2017;420785354;420784878;1;44;1;1;1;1;1;1;3750;0;;1;1;0;1;1;1757;65;12629;9;1;16;99;1105;281;658;207;8;1426
NEUROCHIR;2017;440017598;440000289;1;31;0;;;;;1;;0;;1;1;1;1;1;1714;226;7396;5;0;16;416;1986;222;259;403;25;1693
NEUROCHIR;2017;450002613;450000088;1;18;0;0;0;;1;0;;0;;1;0;1;0;0;711;7;5339;2;0;6;68;551;118;522;0;0;0
NEUROCHIR;2017;490000049;490000031;1;32;0;1;1;1;1;1;;1;;1;1;0;1;1;1709;43;8683;25;4;98;126;1000;14;48;155;8;1224
NEUROCHIR;2017;510004302;510000029;1;30;0;1;1;5;1;1;520;0;0;1;1;0;0;1;1842;166;6467;7;1;18;33;429;567;1638;192;7;881
NEUROCHIR;2017;540001138;540023264;1;72;1;1;1;8;1;1;;1;;1;1;1;0;1;2815;23;24808;7;0;23;159;2316;153;1301;417;18;2515
NEUROCHIR;2017;540002698;540023264;1;8;0;0;1;8;1;1;104;0;;;;;1;1;0;0;0;644;7;2961;0;0;0;0;33;2;204
NEUROCHIR;2017;590000618;590782215;1;28;1;1;0;;1;1;537;1;225;1;0;0;0;0;1902;717;7944;60;50;55;153;714;36;148;0;0;0
NEUROCHIR;2017;590796975;590780193;1;166;1;1;1;1;1;1;5208;0;;1;1;1;1;1;5405;41;30474;830;151;2832;294;4862;26;662;654;72;3290
NEUROCHIR;2017;620118513;620002915;0;;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;20
NEUROCHIR;2017;630000404;630780989;1;44;1;1;1;44;1;1;3565;1;;1;1;1;1;1;2385;40;16359;55;6;205;213;2551;110;1193;238;12;1503
NEUROCHIR;2017;640000162;640780417;1;21;0;0;0;;0;0;;0;;1;1;1;0;0;1138;71;6725;9;0;47;58;709;117;251;0;0;0
NEUROCHIR;2017;640780946;640000469;1;32;0;1;0;;1;0;;0;;1;1;1;0;0;227;13;1057;1;1;0;0;0;3;19;0;0;0
NEUROCHIR;2017;660000084;660780180;1;23;1;1;0;;1;1;30;1;30;1;0;0;0;0;903;34;7278;6;0;18;87;568;103;400;0;0;0
NEUROCHIR;2017;670783273;670780055;1;50;0;1;0;;1;0;;0;;1;1;0;1;1;2051;67;11006;21;1;102;163;1389;39;931;323;41;1280
NEUROCHIR;2017;680000684;680000973;1;45;0;0;1;1;1;1;1040;1;52;1;1;0;0;1;2488;42;14301;7;0;41;173;1695;0;0;125;4;877
NEUROCHIR;2017;690007539;690781810;1;10;0;0;0;;0;0;;0;;0;0;0;1;0;0;0;0;687;26;4518;125;527;221;308;0;0;0
NEUROCHIR;2017;690782834;690000724;0;21;0;0;0;;1;0;;0;;1;0;0;0;1;228;2;1338;0;0;0;31;193;144;265;0;0;0
NEUROCHIR;2017;690784178;690781810;1;120;1;1;1;6;1;;;0;;1;1;1;1;1;5335;640;32096;68;47;139;321;2989;793;2214;537;33;2814
NEUROCHIR;2017;740000237;740781133;1;14;0;0;0;;1;1;6;1;698;1;0;0;0;0;854;19;4565;6;0;30;102;285;99;334;0;0;0
NEUROCHIR;2017;750000499;750140014;1;41;1;1;1;7;1;1;776;0;;1;1;1;0;1;1485;20;10301;26;0;162;107;1381;335;1101;249;7;1807
NEUROCHIR;2017;750000549;750150229;1;32;1;1;1;12;0;0;;0;;1;1;1;1;1;425;46;1994;621;443;685;3;40;5;24;808;31;4977
NEUROCHIR;2017;750100042;750712184;1;42;0;0;0;;1;1;;0;;1;1;0;0;1;2027;129;12547;16;2;69;186;2122;101;614;460;22;3148
NEUROCHIR;2017;750100125;750712184;1;84;1;;1;4;1;;;;;1;1;1;0;1;5032;500;28890;33;3;188;503;7166;1198;1253;337;52;3377
NEUROCHIR;2017;750100208;750712184;1;16;1;1;;;;1;;0;;;;;1;1;23;4;57;1504;135;4856;643;1722;603;1935;0;0;0
NEUROCHIR;2017;760000158;760780239;1;60;1;1;1;3;1;1;1185;0;;1;1;0;1;1;2658;87;19145;34;4;142;301;3102;682;1294;265;33;1456
NEUROCHIR;2017;800006124;800000044;1;40;1;1;1;1;1;1;600;0;0;1;1;;1;1;2045;49;11739;154;17;423;334;1904;61;147;237;34;1054
NEUROCHIR;2017;830100574;750821092;1;20;1;1;1;1;1;1;900;0;;1;0;0;0;1;740;5;7054;5;0;24;78;708;102;541;157;38;607
NEUROCHIR;2017;860000223;860014208;1;44;1;0;0;;1;1;;1;;1;1;0;1;1;1712;44;9254;23;3;99;285;2970;199;314;275;25;2062
NEUROCHIR;2017;870000064;870000015;1;43;1;1;1;7;1;1;;0;;1;1;0;0;1;1859;50;11347;15;1;30;52;685;21;216;277;2;1577
NEUROCHIR;2017;920000650;920150059;1;40;0;1;1;7;1;0;;0;;1;1;0;0;1;1455;54;6346;13;0;24;36;372;813;3446;360;77;1480
NEUROCHIR;2017;920100039;750712184;1;30;0;0;1;;1;1;780;1;425;1;0;0;0;0;1573;320;7506;20;1;106;170;1493;195;206;0;0;0
NEUROCHIR;2017;920120011;750821092;1;15;0;0;0;;0;0;;0;;1;1;0;0;0;719;11;3775;5;0;36;80;280;1;0;0;0;0
